SampleDate,Site,Zone,SamplingPoint,VegetatedOpen,CH4Flux,PM_CH4Flux
2025-07-14,1AO,1,A,Open,11.44438898,NA
2025-07-14,1AV,1,A,Vegetated,48.02936992,36.58498094
2025-07-14,1BO,1,B,Open,15.1614186,NA
2025-07-14,1BV,1,B,Vegetated,31.04046068,15.87904208
2025-07-14,1CO,1,C,Open,10.09454374,NA
2025-07-14,2AO,2,A,Open,10.83754289,NA
2025-07-14,2BO,2,B,Open,19.37650326,NA
2025-07-14,2BV,2,B,Vegetated,0.512629412,0.512629412
2025-07-14,2CO,2,C,Open,10.44947073,NA
2025-07-14,2CV,2,C,Vegetated,73.94893819,63.49946746
2025-07-16,3AO,3,A,Open,10.54966494,NA
2025-07-16,3AV,3,A,Vegetated,61.05174973,50.5020848
2025-07-16,3BO,3,B,Open,11.50544651,NA
2025-07-16,3BV,3,B,Vegetated,43.9618579,32.45641139
2025-07-16,3CO,3,C,Open,71.21679159,NA
2025-07-16,3CV,3,C,Vegetated,49.90370068,49.90370068
2025-07-18,1AO,1,A,Open,16.47954451,NA
2025-07-18,1AV,1,A,Vegetated,47.72159515,31.24205064
2025-07-18,1BO,1,B,Open,26.6669852,NA
2025-07-18,1BV,1,B,Vegetated,173.3698466,146.7028614
2025-07-18,1CO,1,C,Open,11.77651715,NA
2025-07-18,1CV,1,C,Vegetated,57.51799975,45.74148261
2025-07-18,2AO,2,A,Open,11.46006573,NA
2025-07-18,2AV,2,A,Vegetated,66.47222045,55.01215472
2025-07-18,2BO,2,B,Open,11.44680905,NA
2025-07-18,2BV,2,B,Vegetated,27.57466779,16.12785874
2025-07-18,2CO,2,C,Open,11.60486672,NA
2025-07-18,2CV,2,C,Vegetated,199.6723272,188.0674604
2025-07-18,3AO,3,A,Open,54.42986699,NA
2025-07-18,3AV,3,A,Vegetated,65.64072909,11.2108621
2025-07-18,3BO,3,B,Open,43.92103541,NA
2025-07-18,3BV,3,B,Vegetated,163.5549847,119.6339493
2025-07-18,3CO,3,C,Open,13.91674465,NA
2025-07-18,3CV,3,C,Vegetated,99.66797135,85.7512267
2025-07-27,3AO,3,A,Open,21.74256694,NA
2025-07-27,3AV,3,A,Vegetated,58.31137833,36.56881139
2025-07-27,3BO,3,B,Open,21.99679027,NA
2025-07-27,3BV,3,B,Vegetated,179.0049032,157.0081129
2025-07-27,3CO,3,C,Open,12.52560384,NA
2025-07-27,3CV,3,C,Vegetated,71.06033634,58.5347325
2025-07-28,1AO,1,A,Open,27.51922839,NA
2025-07-28,1AV,1,A,Vegetated,101.097414,73.57818564
2025-07-28,1BO,1,B,Open,28.75668244,NA
2025-07-28,1BV,1,B,Vegetated,91.84737691,63.09069447
2025-07-28,1CO,1,C,Open,20.82588222,NA
2025-07-28,1CV,1,C,Vegetated,76.10089035,55.27500813
2025-07-28,2AO,2,A,Open,16.900642,NA
2025-07-28,2AV,2,A,Vegetated,130.8086913,113.9080493
2025-07-28,2BO,2,B,Open,22.34301666,NA
2025-07-28,2BV,2,B,Vegetated,37.03031925,14.68730258
2025-07-28,2CO,2,C,Open,23.11624443,NA
2025-07-28,2CV,2,C,Vegetated,238.836086,215.7198416
2025-08-02,1AO,1,A,Open,1.046979729,NA
2025-08-02,1AV,1,A,Vegetated,43.47102991,42.42405019
2025-08-02,1BO,1,B,Open,14.08270444,NA
2025-08-02,1BV,1,B,Vegetated,33.84417464,19.7614702
2025-08-02,1CO,1,C,Open,11.24633784,NA
2025-08-02,1CV,1,C,Vegetated,35.952404,24.70606616
2025-08-02,2AO,2,A,Open,63.28698613,NA
2025-08-02,2AV,2,A,Vegetated,112.9234742,49.63648806
2025-08-02,2BO,2,B,Open,26.96905882,NA
2025-08-02,2BV,2,B,Vegetated,120.902501,93.93344221
2025-08-02,2CO,2,C,Open,19.30401723,NA
2025-08-02,2CV,2,C,Vegetated,68.97006106,49.66604383
2025-08-02,3AO,3,A,Open,94.54448184,NA
2025-08-02,3AV,3,A,Vegetated,89.80803419,89.80803419
2025-08-02,3BO,3,B,Open,91.4479999,NA
2025-08-02,3BV,3,B,Vegetated,100.7282877,100.7282877
2025-08-02,3CV,3,C,Vegetated,24.3034919,24.3034919
2025-08-09,2AV,2,A,Vegetated,106.2232092,106.2232092
2025-08-09,2BO,2,B,Open,1.823607918,NA
2025-08-09,2BV,2,B,Vegetated,140.1215941,138.2979862
2025-08-09,2CO,2,C,Open,63.84194345,NA
2025-08-09,2CV,2,C,Vegetated,63.14194478,63.14194478
2025-08-10,1AO,1,A,Open,10.59053711,NA
2025-08-10,1AV,1,A,Vegetated,30.07385049,19.48331338
2025-08-10,1BO,1,B,Open,10.79451819,NA
2025-08-10,1BV,1,B,Vegetated,95.80969511,85.01517692
2025-08-10,1CO,1,C,Open,10.90209151,NA
2025-08-10,1CV,1,C,Vegetated,41.33826668,30.43617517
2025-08-10,3AO,3,A,Open,16.61702507,NA
2025-08-10,3AV,3,A,Vegetated,60.40174402,43.78471895
2025-08-10,3BO,3,B,Open,12.33269345,NA
2025-08-10,3BV,3,B,Vegetated,48.45080141,36.11810796
2025-08-10,3CO,3,C,Open,13.75291185,NA
2025-08-10,3CV,3,C,Vegetated,52.55330794,38.80039609
2025-08-13,1AO,1,A,Open,20.45024026,NA
2025-08-13,1AV,1,A,Vegetated,33.94561639,13.49537613
2025-08-13,1BO,1,B,Open,21.51339992,NA
2025-08-13,1BV,1,B,Vegetated,153.0172422,131.5038422
2025-08-13,1CO,1,C,Open,42.47078291,NA
2025-08-13,1CV,1,C,Vegetated,27.60216221,27.60216221
2025-08-13,3AO,3,A,Open,17.61420666,NA
2025-08-13,3AV,3,A,Vegetated,109.425418,91.81121134
2025-08-13,3BO,3,B,Open,12.31597656,NA
2025-08-13,3BV,3,B,Vegetated,150.3324944,138.0165178
2025-08-13,3CO,3,C,Open,26.74830874,NA
2025-08-13,3CV,3,C,Vegetated,95.84232367,69.09401493
2025-08-14,2AO,2,A,Open,16.35800081,NA
2025-08-14,2AV,2,A,Vegetated,48.87522023,32.51721942
2025-08-14,2BV,2,B,Vegetated,205.0596873,205.0596873
2025-08-14,2CO,2,C,Open,13.75848407,NA
2025-08-14,2CV,2,C,Vegetated,86.85048861,73.09200454
2025-08-17,1AO,1,A,Open,14.55247067,NA
2025-08-17,1AV,1,A,Vegetated,46.23614186,31.68367119
2025-08-17,1BO,1,B,Open,16.46692,NA
2025-08-17,1BV,1,B,Vegetated,57.89589064,41.42897064
2025-08-17,1CO,1,C,Open,14.39621229,NA
2025-08-17,1CV,1,C,Vegetated,43.78853275,29.39232046
2025-08-17,2AO,2,A,Open,12.15912967,NA
2025-08-17,2AV,2,A,Vegetated,295.0335037,282.8743741
2025-08-17,2BO,2,B,Open,44.75886694,NA
2025-08-17,2BV,2,B,Vegetated,129.3533627,84.5944958
2025-08-17,2CO,2,C,Open,11.82364006,NA
2025-08-17,2CV,2,C,Vegetated,97.22544273,85.40180267
2025-08-18,3AO,3,A,Open,24.00543616,NA
2025-08-18,3AV,3,A,Vegetated,53.33320509,29.32776894
2025-08-18,3BO,3,B,Open,11.74875664,NA
2025-08-18,3BV,3,B,Vegetated,117.4518612,105.7031045
2025-08-18,3CO,3,C,Open,8.799993053,NA
2025-08-18,3CV,3,C,Vegetated,41.36649249,32.56649944
