SampleDate,Site,Zone,Sampling Point,Vegetation/Open,Pathway,d13C-CH4
2025-07-14,1BO,1,B,Open,FC,-78.9
2025-07-14,1BV,1,B,Vegetated,FC,-75
2025-07-16,3CO,3,C,Open,FC,-87.6
2025-07-16,3CV,3,C,Vegetated,FC,-79.3
2025-08-02,1AO,1,A,Open,FC,-67.5
2025-08-02,1AV,1,A,Vegetated,FC,-79.5
2025-08-02,2AO,2,A,Open,FC,-73.5
2025-08-02,2AV,2,A,Vegetated,FC,-73
2025-08-02,2BO,2,B,Open,FC,-59.1
2025-08-02,3BV,3,B,Vegetated,FC,-35.1
2025-08-02,2CO,2,C,Open,FC,-53.2
2025-08-02,2CV,2,C,Vegetated,FC,-61.4
2025-08-02,3AO,3,A,Open,FC,-51.9
2025-08-02,3AV,3,A,Vegetated,FC,-68.7
2025-08-02,3BO,3,B,Open,FC,-72.6
2025-08-02,3BV,3,B,Vegetated,FC,-81.6
2025-08-02,3CO,3,C,Open,FC,-63.5
2025-08-02,3CV,3,C,Vegetated,FC,-60.9
2025-08-17,2BO,2,B,Open,FC,-61.8
2025-08-17,2BV,2,B,Vegetated,FC,-68.8
2025-08-18,3AO,3,A,Open,FC,-58.9
2025-08-18,3AV,3,A,Vegetated,FC,-69.4
2025-07-14,1BO,1,B,Open,BUB,-58.7
2025-07-14,2BV,2,B,Vegetated,BUB,-45.4
2025-07-14,1CV,1,C,Vegetated,BUB,-52.1
2025-07-14,2BO,2,B,Open,BUB,-67.6
2025-07-16,3AV,3,A,Vegetated,BUB,-60.2
2025-07-16,3AO,3,A,Open,BUB,-65.2
2025-07-31,1AO,1,A,Open,BUB,-62.9
2025-07-31,2CO,2,C,Open,BUB,-48.8
2025-07-31,2CV,2,C,Vegetated,BUB,-61.4
2025-07-31,3BO,3,B,Open,BUB,-64.1
2025-07-31,3BV,3,B,Vegetated,BUB,-59.8
2025-08-14,1AO,1,A,Open,BUB,-60
2025-08-14,1AV,1,A,Vegetated,BUB,-54.3
2025-08-14,2BO,2,B,Open,BUB,-53
2025-08-14,2BV,2,B,Vegetated,BUB,-60.4
2025-08-14,3CO,3,C,Open,BUB,-61.8
2025-08-14,3CV,3,C,Vegetated,BUB,-56.3
