SampleDate,Zone,VegetatedOpen,DOC,TOC,TC,TIC,TN,NH4-N,NO2-N,PO4-P,NO3-N,SO4-S,F,Cl,Br,Al,As,B,Ba,Be,Ca,Cd,Co,Cr,Cu,Fe,K,Li,Mg,Mn,Mo,Na,Ni,P,Pb,S,Sb ,Se,Si,Sr,Ti,Tl,V,Zn
07/27/2025,1,O,5.167,7.893,45.99,38.10,0.344,16.372,<LOD,3.859,0.030,13.861,0.141,0.379,<LOD,<LOD,0.002,0.006,0.081,<LOD,32.90,<LOD,0.001,<LOD,0.001,0.003,1.502,0.006,32.40,0.001,0.001,3.330,<LOD,<LOD,<LOD,12.92,0.004,<LOD,4.868,0.205,<LOD,<LOD,0.001,<LOD
07/27/2025,1,V,5.329,7.452,46.08,38.63,0.395,17.682,<LOD,3.918,0.081,13.782,0.146,0.376,<LOD,<LOD,0.003,0.005,0.078,<LOD,31.71,<LOD,<LOD,0.001,0.001,0.002,1.601,0.004,32.26,0.001,<LOD,3.383,<LOD,0.005,<LOD,12.67,<LOD,<LOD,4.579,0.198,<LOD,<LOD,0.001,<LOD
07/27/2025,2,O,5.213,6.689,42.90,36.21,0.292,15.066,<LOD,3.541,0.017,13.724,0.126,0.508,<LOD,<LOD,0.002,0.005,0.039,<LOD,20.42,<LOD,<LOD,0.001,0.001,0.001,1.492,0.004,31.00,<LOD,0.001,3.251,0.001,0.003,<LOD,12.40,0.001,<LOD,4.644,0.137,<LOD,<LOD,0.002,<LOD
07/27/2025,2,V,5.230,6.322,42.39,36.07,0.349,15.634,<LOD,3.452,0.029,13.749,0.123,0.389,<LOD,<LOD,0.004,0.005,0.038,<LOD,21.14,<LOD,0.001,0.001,<LOD,<LOD,1.508,0.003,31.22,0.001,<LOD,3.284,<LOD,<LOD,<LOD,12.27,<LOD,<LOD,4.515,0.141,<LOD,<LOD,0.002,<LOD
07/27/2025,3,O,7.662,10.28,48.82,38.54,0.329,18.721,<LOD,3.761,0.015,13.824,0.130,0.402,<LOD,<LOD,0.002,0.005,0.050,<LOD,24.25,<LOD,0.001,<LOD,0.002,<LOD,1.517,0.002,31.33,0.001,<LOD,3.292,<LOD,<LOD,<LOD,12.52,0.004,<LOD,4.558,0.151,<LOD,<LOD,0.002,<LOD
07/27/2025,3,V,5.529,7.026,45.87,38.84,0.348,17.064,<LOD,3.790,0.016,13.869,0.161,0.386,<LOD,<LOD,0.003,0.005,0.068,<LOD,29.31,<LOD,0.001,0.001,0.002,0.002,1.514,0.003,31.56,0.001,<LOD,3.335,<LOD,0.004,<LOD,12.55,0.004,<LOD,4.997,0.182,<LOD,<LOD,0.003,0.001
08/09/2025,1,O,5.413,6.465,44.62,38.16,0.316,12.349,<LOD,5.520,0.014,13.416,0.132,0.365,<LOD,<LOD,0.003,0.005,0.048,<LOD,23.18,<LOD,0.001,0.001,<LOD,<LOD,1.431,0.004,30.30,<LOD,<LOD,3.245,<LOD,0.003,0.001,12.08,0.006,<LOD,3.801,0.148,<LOD,<LOD,0.003,<LOD
08/09/2025,1,V,6.619,8.827,46.66,37.83,0.335,10.840,<LOD,3.682,0.015,13.656,0.167,0.369,<LOD,<LOD,0.004,0.005,0.050,<LOD,24.57,<LOD,0.001,<LOD,0.001,0.003,1.447,0.001,31.57,<LOD,<LOD,3.302,<LOD,0.003,0.004,12.75,0.008,<LOD,4.876,0.153,<LOD,<LOD,0.002,<LOD
08/09/2025,2,O,5.396,3.736,42.18,38.44,0.313,11.630,<LOD,3.782,0.014,13.590,0.122,0.379,<LOD,<LOD,0.004,0.005,0.039,<LOD,19.87,<LOD,<LOD,<LOD,0.001,0.001,1.468,0.004,31.31,<LOD,<LOD,3.285,<LOD,<LOD,<LOD,12.68,0.006,<LOD,4.140,0.132,<LOD,<LOD,0.003,<LOD
08/09/2025,2,V,9.501,11.41,45.70,34.29,0.349,15.407,<LOD,4.012,0.024,13.625,0.113,0.395,<LOD,<LOD,0.003,0.005,0.028,<LOD,18.41,<LOD,<LOD,0.001,0.001,0.002,1.473,0.004,31.88,<LOD,<LOD,3.347,<LOD,0.003,<LOD,12.64,0.003,<LOD,5.118,0.128,<LOD,<LOD,0.004,<LOD
