Treatment,Temperature,ReplicateID,SampleDay,dCH4ConcDiff,CH4Prod,Log_CH4Prod,PLog_CH4Prod,OM,CN
Control,20,r1,1,1100.08138,-0.0075855,NA,-0.0076144,NA,NA
Control,20,r2,1,2111.54043,-0.0148445,NA,-0.0149557,NA,NA
Control,20,r3,1,1080.16735,-0.008923,NA,-0.0089631,NA,NA
Control,20,r4,1,235.707191,-0.0014567,NA,-0.0014578,NA,NA
Control,20,r5,1,284.418784,-0.0015718,NA,-0.001573,NA,NA
Benthic Only,20,r1,1,423.029747,0.0994926,-2.307672,0.0948488,50.1,NA
Benthic Only,20,r2,1,381.4481,0.11866546,-2.131447,0.11213642,NA,NA
Benthic Only,20,r3,1,1811.31656,0.36046538,-1.0203594,0.30782683,44.6,NA
Benthic Only,20,r4,1,424.831058,0.07937791,-2.5335352,0.07638486,NA,40.5
Benthic Only,20,r5,1,999.411074,0.17685927,-1.7324009,0.16284926,NA,32.7
Sediment + Benthic,20,r1,1,3417.86867,0.42948579,-0.8451666,0.35731479,NA,70.1
Sediment + Benthic,20,r2,1,2509.02818,0.20506243,-1.5844408,0.18653137,13.1,NA
Sediment + Benthic,20,r3,1,1943.82071,0.25862661,-1.3523699,0.23002114,11.8,NA
Sediment + Benthic,20,r4,1,5141.43367,0.53575013,-0.6240874,0.42901895,NA,69.9
Sediment + Benthic,20,r5,1,11256.4426,1.07767705,0.07480785,0.73125047,NA,NA
Sediment Only,20,r1,1,2558.62934,0.24299861,-1.4146995,0.2175267,NA,103
Sediment Only,20,r2,1,3855.21633,0.34589324,-1.0616251,0.29705791,NA,NA
Sediment Only,20,r3,1,4837.77777,0.43365192,-0.8355131,0.36022498,4.44,NA
Sediment Only,20,r4,1,3768.52735,0.27402559,-1.2945338,0.24218164,NA,93.3
Sediment Only,20,r5,1,3514.20404,0.27854116,-1.2781895,0.24571971,4.36,NA
Control,30,r1,1,6631.71097,-0.0552816,NA,-0.0568683,NA,NA
Control,30,r2,1,3414.38972,-0.018943,NA,-0.0191248,NA,NA
Control,30,r3,1,833.522793,-0.0053098,NA,-0.005324,NA,NA
Control,30,r4,1,257.484288,-0.002193,NA,-0.0021954,NA,NA
Control,30,r5,1,1279.35891,-0.0079733,NA,-0.0080052,NA,NA
Benthic Only,30,r1,1,1087.25021,0.20144685,-1.6022297,0.18352654,NA,38.7
Benthic Only,30,r2,1,3216.23607,0.5540463,-0.590507,0.44086205,59.7,NA
Benthic Only,30,r3,1,9249.85695,1.92499295,0.65492231,1.07329207,48.9,NA
Benthic Only,30,r4,1,9095.28661,2.1013636,0.74258647,1.13184189,NA,45.2
Benthic Only,30,r5,1,1503.87148,0.56451513,-0.5717881,0.44757596,NA,NA
Sediment + Benthic,30,r1,1,16104.6208,1.31607451,0.27465345,0.83987373,NA,74.2
Sediment + Benthic,30,r2,1,16851.5984,1.682,0.51998356,0.98656279,NA,NA
Sediment + Benthic,30,r3,1,6797.34238,0.8420066,-0.1719674,0.61085552,11.7,NA
Sediment + Benthic,30,r4,1,20835.6299,1.79216765,0.58342586,1.02681823,NA,68.9
Sediment + Benthic,30,r5,1,15064.5591,1.62096512,0.48302172,0.96354262,11.6,NA
Sediment Only,30,r1,1,6477.49407,0.59835345,-0.5135736,0.46897401,NA,111.5
Sediment Only,30,r2,1,4363.77098,0.38726873,-0.9486364,0.32733687,4.3,NA
Sediment Only,30,r3,1,9759.71524,0.81130959,-0.2091056,0.59405011,NA,NA
Sediment Only,30,r4,1,1203.82096,0.10637026,-2.2408292,0.10108462,NA,97.6
Sediment Only,30,r5,1,7506.06572,0.69742136,-0.3603655,0.52911025,4.12,NA
Control,20,r1,2,-1092.8624,0.00719318,-4.9346223,0.00716743,NA,NA
Control,20,r2,2,-2103.4661,0.01619604,-4.1229886,0.01606628,NA,NA
Control,20,r3,2,-1059.8237,0.00915293,-4.6936816,0.00911129,NA,NA
Control,20,r4,2,-210.89988,0.00161375,-6.4291977,0.00161244,NA,NA
Control,20,r5,2,-259.41051,0.00163838,-6.4140486,0.00163704,NA,NA
Benthic Only,20,r1,2,5652.2916,1.64588116,0.4982759,0.97300415,50.1,NA
Benthic Only,20,r2,2,5642.4138,2.17324074,0.77621948,1.15475338,NA,NA
Benthic Only,20,r3,2,1313.85036,0.24958111,-1.3879713,0.22280838,44.6,NA
Benthic Only,20,r4,2,5837.72364,1.24657632,0.22040085,0.80940742,NA,40.5
Benthic Only,20,r5,2,373.29708,0.07807086,-2.5501385,0.0751732,NA,32.7
Sediment + Benthic,20,r1,2,4035.88248,0.46104069,-0.774269,0.37914898,NA,70.1
Sediment + Benthic,20,r2,2,-312.63516,-0.0292018,NA,-0.0296367,13.1,NA
Sediment + Benthic,20,r3,2,19701.2094,2.38296251,0.86834447,1.21875181,11.8,NA
Sediment + Benthic,20,r4,2,3429.93648,0.40846615,-0.8953462,0.34250128,NA,69.9
Sediment + Benthic,20,r5,2,-6500.2537,-0.7704986,NA,-1.471846,NA,NA
Sediment Only,20,r1,2,3129.19692,0.29718666,-1.2133948,0.26019781,NA,103
Sediment Only,20,r2,2,3791.72472,0.34019672,-1.0782312,0.29281641,NA,NA
Sediment Only,20,r3,2,799.2528,0.07880835,-2.5407364,0.07585705,4.44,NA
Sediment Only,20,r4,2,-731.81184,-0.0658829,NA,-0.0681535,NA,93.3
Sediment Only,20,r5,2,1560.69408,0.14137484,-1.9563405,0.13223354,4.36,NA
Control,30,r1,2,-6610.7224,0.06011628,-2.8114745,0.0583786,NA,NA
Control,30,r2,2,-3387.3738,0.02161213,-3.8345007,0.0213819,NA,NA
Control,30,r3,2,-830.96227,0.00579766,-5.1503009,0.00578092,NA,NA
Control,30,r4,2,-234.27704,0.00226745,-6.0890977,0.00226489,NA,NA
Control,30,r5,2,-1262.1514,0.0082406,-4.7986821,0.00820683,NA,NA
Benthic Only,30,r1,2,3318.5934,0.73199101,-0.311987,0.54927162,NA,38.7
Benthic Only,30,r2,2,12491.9034,2.58230779,0.94868349,1.27600723,59.7,NA
Benthic Only,30,r3,2,10362.1393,1.96042788,0.67316275,1.08533381,48.9,NA
Benthic Only,30,r4,2,-7716.6809,-1.86775,NA,NA,NA,45.2
Benthic Only,30,r5,2,10328.1136,4.61537063,1.52939217,1.72550759,NA,NA
Sediment + Benthic,30,r1,2,17535.8054,1.70598971,0.53414542,0.99546773,NA,74.2
Sediment + Benthic,30,r2,2,5970.80736,0.65271936,-0.426608,0.50242203,NA,NA
Sediment + Benthic,30,r3,2,19145.34,1.95913877,0.67250498,1.08489827,11.7,NA
Sediment + Benthic,30,r4,2,-18676.583,-2.1687186,NA,NA,NA,68.9
Sediment + Benthic,30,r5,2,10828.5965,1.22065462,0.19938729,0.79780203,11.6,NA
Sediment Only,30,r1,2,6154.56396,0.62266809,-0.4737417,0.48407176,NA,111.5
Sediment Only,30,r2,2,7494.10788,0.69530536,-0.3634042,0.52786288,4.3,NA
Sediment Only,30,r3,2,4888.19664,0.48374762,-0.7261919,0.39457107,NA,NA
Sediment Only,30,r4,2,14668.4881,1.29611547,0.25937169,0.83121877,NA,97.6
Sediment Only,30,r5,2,4994.58756,0.42188087,-0.8630323,0.35198055,4.12,NA
Control,20,r1,3,1.4783886,-7.93E-06,NA,-7.93E-06,NA,NA
Control,20,r2,3,1.1674842,-6.99E-06,NA,-6.99E-06,NA,NA
Control,20,r3,3,-18.561404,0.00014694,-8.8254658,0.00014693,NA,NA
Control,20,r4,3,-16.874813,0.00010429,-9.1683351,0.00010428,NA,NA
Control,20,r5,3,-14.203096,0.000075351,-9.4933534,7.53482E-05,NA,NA
Benthic Only,20,r1,3,-3320.0316,-0.78084,NA,-1.5179534,50.1,NA
Benthic Only,20,r2,3,5316.49032,1.59266143,0.46540647,0.95268493,NA,NA
Benthic Only,20,r3,3,942.54552,0.18333527,-1.6964387,0.16833695,44.6,NA
Benthic Only,20,r4,3,-4580.838,-0.7608093,NA,-1.4304941,NA,40.5
Benthic Only,20,r5,3,38379.3875,9.01579723,2.19897829,2.30416357,NA,32.7
Sediment + Benthic,20,r1,3,4897.69596,0.47341487,-0.7477832,0.38758275,NA,70.1
Sediment + Benthic,20,r2,3,2082.80928,0.15131345,-1.8884018,0.14090342,13.1,NA
Sediment + Benthic,20,r3,3,-9640.6009,-0.9501394,NA,-2.9985249,11.8,NA
Sediment + Benthic,20,r4,3,132.56796,0.01589822,-4.1415483,0.01577316,NA,69.9
Sediment + Benthic,20,r5,3,-4412.0443,-0.4224033,NA,-0.5488795,NA,NA
Sediment Only,20,r1,3,4142.16924,0.33044832,-1.107305,0.28551597,NA,103
Sediment Only,20,r2,3,2376.99336,0.17377216,-1.7500102,0.16022263,NA,NA
Sediment Only,20,r3,3,12550.3552,0.95192057,-0.0492737,0.6688138,4.44,NA
Sediment Only,20,r4,3,9436.05888,0.68613582,-0.3766797,0.52243942,NA,93.3
Sediment Only,20,r5,3,5182.69656,0.36514525,-1.0074601,0.31126083,4.36,NA
Control,30,r1,3,-20.525874,0.00016426,-8.7140722,0.00016424,NA,NA
Control,30,r2,3,3.833346,-1.81E-05,NA,-1.81E-05,NA,NA
Control,30,r3,3,14.4238224,-8.45E-05,NA,-8.45E-05,NA,NA
Control,30,r4,3,2.863299,-2.44E-05,NA,-2.44E-05,NA,NA
Control,30,r5,3,14.5105872,-7.37E-05,NA,-7.37E-05,NA,NA
Benthic Only,30,r1,3,22945.1783,4.2513066,1.44722637,1.65847692,NA,38.7
Benthic Only,30,r2,3,-7763.0167,-1.5390774,NA,NA,59.7,NA
Benthic Only,30,r3,3,8771.62308,1.75075204,0.56004544,1.01187434,48.9,NA
Benthic Only,30,r4,3,23012.692,5.57244931,1.71783469,1.88288657,NA,45.2
Benthic Only,30,r5,3,9379.87872,4.06473499,1.40234855,1.62230182,NA,NA
Sediment + Benthic,30,r1,3,43140.111,4.23099739,1.44243776,1.65460197,NA,74.2
Sediment + Benthic,30,r2,3,44958.1255,4.12839187,1.41788795,1.63479213,NA,NA
