Treatment,Temperature,ReplicateID,SampleDay,dCH4ConcDiff,CH4Prod,CH4ProdOutlier,OM,CN
Benthic Only,20,r1,1,423.029747,0.0994926,N,50.1,NA
Benthic Only,20,r2,1,381.4481,0.11866546,N,NA,NA
Benthic Only,20,r3,1,1811.31656,0.36046538,Y,44.6,NA
Benthic Only,20,r4,1,424.831058,0.07937791,Y,NA,40.5
Benthic Only,20,r5,1,999.411074,0.17685927,N,NA,32.7
Sediment + Benthic,20,r1,1,3417.86867,0.42948579,N,NA,70.1
Sediment + Benthic,20,r2,1,2509.02818,0.20506243,Y,13.1,NA
Sediment + Benthic,20,r3,1,1943.82071,0.25862661,N,11.8,NA
Sediment + Benthic,20,r4,1,5141.43367,0.53575013,N,NA,69.9
Sediment + Benthic,20,r5,1,11256.4426,1.07767705,Y,NA,NA
Sediment Only,20,r1,1,2558.62934,0.24299861,N,NA,103
Sediment Only,20,r2,1,3855.21633,0.34589324,Y,NA,NA
Sediment Only,20,r3,1,4837.77777,0.43365192,N,4.44,NA
Sediment Only,20,r4,1,3768.52735,0.27402559,N,NA,93.3
Sediment Only,20,r5,1,3514.20404,0.27854116,Y,4.36,NA
Benthic Only,30,r1,1,1087.25021,0.20144685,Y,NA,38.7
Benthic Only,30,r2,1,3216.23607,0.5540463,N,59.7,NA
Benthic Only,30,r3,1,9249.85695,1.92499295,N,48.9,NA
Benthic Only,30,r4,1,9095.28661,2.1013636,Y,NA,45.2
Benthic Only,30,r5,1,1503.87148,0.56451513,N,NA,NA
Sediment + Benthic,30,r1,1,16104.6208,1.31607451,N,NA,74.2
Sediment + Benthic,30,r2,1,16851.5984,1.682,N,NA,NA
Sediment + Benthic,30,r3,1,6797.34238,0.8420066,Y,11.7,NA
Sediment + Benthic,30,r4,1,20835.6299,1.79216765,Y,NA,68.9
Sediment + Benthic,30,r5,1,15064.5591,1.62096512,N,11.6,NA
Sediment Only,30,r1,1,6477.49407,0.59835345,N,NA,111.5
Sediment Only,30,r2,1,4363.77098,0.38726873,N,4.3,NA
Sediment Only,30,r3,1,9759.71524,0.81130959,Y,NA,NA
Sediment Only,30,r4,1,1203.82096,0.10637026,Y,NA,97.6
Sediment Only,30,r5,1,7506.06572,0.69742136,N,4.12,NA
